category,product_id,price
shoes,vfoWflekKTfI8RLd,125.6
shoes,fv9UcGlbaaC50Dod,111.99
shoes,4Qm8RsYXaoob5ei5,152.99
shoes,RBZTCdq3jmEYWdQG,109.99
shoes,24vpcjMKjW5RjAIX,114.44
shoes,8ajinQYi14yeoYyB,109.13
shoes,1bW3wyTxsXWjwJND,117.79
shoes,9QYN4K8FBatoJUWo,115.99
shoes,C3ESBtQkFh2wuqsn,104.99
shoes,1ojtGrkRcOpCXJRq,126.99
shoes,CeXtfFGoLCiZZ8J1,139.86
shoes,sJFEQYvbF6Nwlt2P,125.53
shoes,GtTNOIUUhVEVa7yk,154.99
shoes,FtexqOGVhDb6MoO7,102.4
shoes,BkgvPyoIDU1SENNF,124.99
shoes,yP450yVgXbu9eLFC,149.99
shoes,HsTeRS5Z4IMHqkU9,139.78
shoes,xVZGzeGSuiBBy2lq,108.94
shoes,iegAaX5vYUY7FppC,127.99
shoes,1YsCJO1nl5mwDE9I,96.99
shoes,i8ffjUw3l8K3a9wg,118.99
shoes,2lJd933kCQpWus9S,136.99
shoes,KboQWur25Bzn29lJ,117.93
shoes,JellxJ1G0KBWFLFC,193.64
shoes,x1ERhFYEpIcr0eQ1,146.99
shoes,JN8Ny5lSWM4Z6aD2,127.99
shoes,mp1ORfpFe0BfrYFn,87.99
shoes,pzw26SptRpf0M4e1,119.99
shoes,D2fqvKJjSAMlExXP,96.99
shoes,F7SPlqofC4VTKc1X,134.99
shoes,8sbJsesIjpHJBW8c,133.19
shoes,DHBF4k7CYiT4IVjM,132.29
shoes,UEgc97gD7GLSgmlK,112.99
shoes,yk7AlpN6r0kBsAir,95.99
shoes,jaBGCYOuNaBh3P7n,91.5
shoes,aSB7K39TCWzIckvi,136.99
shoes,AQpmXH7z2r3PGbPk,103.89
shoes,ssWpBV3cIpFTisL7,99.58
shoes,IHsZp21bw3Z3PY1Q,92.25
shoes,vY2FPTK4pgo9Mw7s,126.99
shoes,utDwifsy3bfN5nWU,122.99
shoes,kbz6HQeBzBSZVhvv,136.99
shoes,sWrJRuYh8WQJejFG,134.99
shoes,9HFIvyKaGKpuHGeZ,102.99
shoes,ItyHsNYE4h5EtQaO,117.99
shoes,3sHAwgBH9m8UXvGw,115.99
shoes,u7hunXgSd1HzTZIc,127.99
shoes,wF9kxmfExfZu0qbr,154.99
shoes,GkWisticIkSambjr,131.99
shoes,97ltKlTzIOo5rhsw,122.63
shoes,Lf1eJnBjPfO9cyRt,104.99
shoes,Vn1vGHbJJoRj8EMC,111.09
shoes,iIv7jTvG7rN1zTUK,85.99
shoes,dvmuuPyIJiiP2g93,118.38
shoes,J7koKvShK7FbeEy9,135.99
shoes,yvu1CjTno5i94dQ0,99.39
shoes,Gr47waQAJTzottxr,109.99
shoes,zwoDC4OonccCfG30,114.46
shoes,gF5uGniOgdau5GfK,124.99
shoes,AAlSiTYsomFdXkdx,137.34
shoes,lNNLx3yLswvDvon9,132.99
shoes,jsEVoNK9oJuI0R2Y,117.41
shoes,OGRVMe6z4xkSRfAq,127.4
shoes,byBT0jpvQSWoufJQ,91.1
shoes,LR8DNklZbDe0PZeR,114.98
shoes,kyqC3KjSuCeYOh6L,90.99
shoes,nDPWkZ52XFLVBbxi,126.32
shoes,ue646wJCQFymihg3,115.99
shoes,eEsTThwpXq6oEG2e,97.62
shoes,SjmM9wCneZ7Oq4oH,120.99
shoes,ZRj7Ep8Ymlq6uqxx,150.99
shoes,SxZfnA7qUSc4Fib5,106.26
shoes,etwDufT2mKnf2fCF,118.99
shoes,uQOKi85GNgpLFjuE,147.99
shoes,t34itiPlW5DOgzK5,116.08
shoes,qJO95jdCZF856FCo,82.17
shoes,9TBdxXwYprTizTcR,127.99
shoes,2W7MCLfGWzSaUhmn,109.99
shoes,Vhr5vNhCaCAQm60k,159.99
shoes,tphI8kwtpFsZxD5x,135.75
shoes,aCpIcyuhOUQ0j2fz,103.99
shoes,RhFXm5ujOdjL5Gfm,139.55
shoes,OIX39tlCTSpTZbd7,90.99
shoes,3zSfhTsxWYw0o13b,130.99
shoes,HieqKuPlA8BJdJQY,114.8
shoes,EOCv0emVwmAVIozf,151.99
shoes,ngaJlzbMUIEHooLT,111.85
shoes,cfOUKSRFQtOP3X62,133.54
shoes,KJJcnwDTcv4JYBuQ,149.15
shoes,aNa9V3xCa0imuOyW,123.99
shoes,Ykp4BWtCt4Wd9Svc,108.99
shoes,lp1JZkBf49qeRGR9,100.97
shoes,pjDFRYTfiHzo5003,153.59
